MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10938,82053,0,8,156
70:ee:50:57:95:29,72,23046,0,0,29644
54:af:97:bb:8d:8f,8,6792,0,0,0
70:09:71:9d:ad:10,120,6730,0,64,416
00:16:6c:d7:d5:f9,36,5934,1534,0,80612
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,136,7024,0,69088,0
10:5a:17:b8:9f:70,616,10124,0,69080,0
fc:67:1f:53:fa:6e,0,82,0,24,0
1c:90:ff:bf:89:46,0,120,0,32,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,12,7766,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,4,68,0,12,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,4,48,0,12,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,18,5778,0,960,0
84:69:93:27:ad:35,154,22978,0,1916,244
18:48:be:31:4b:49,8112,77826,18182,288,6460
74:d4:23:32:a2:d7,7980,63016,1424,312,6416
6e:fe:2f:5a:d7:7e,0,0,0,0,0
90:48:6c:08:da:8a,0,0,0,0,0
