MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,4584,86642,236508,180,1150
68:3a:48:0d:d4:1c,0,0,0,0,0
70:ee:50:57:95:29,0,0,0,0,0
54:af:97:bb:8d:8f,0,0,0,0,0
70:09:71:9d:ad:10,72,4934,0,35,395
00:16:6c:d7:d5:f9,0,0,0,0,0
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,12,7404,0,86335,0
10:5a:17:b8:9f:70,0,1054,0,7960,0
fc:67:1f:53:fa:6e,0,0,0,0,0
1c:90:ff:bf:89:46,0,0,0,0,0
cc:a7:c1:6a:b5:78,18,7528,0,25,0
70:ee:50:96:bb:dc,838,12298,0,25,60
00:24:e4:e3:15:6e,4,78,0,15,0
00:24:e4:e4:55:26,0,0,0,0,0
00:24:e4:f6:91:38,4,48,0,15,0
00:24:e4:f7:ee:ac,0,0,0,0,0
70:3a:2d:4a:48:e2,26,24370,60052,1480,0
b0:02:47:6f:63:37,0,0,0,0,0
84:69:93:27:ad:35,0,0,0,0,0
18:48:be:31:4b:49,7962,72804,253144,0,7305
74:d4:23:32:a2:d7,0,0,0,0,0
6e:fe:2f:5a:d7:7e,0,0,0,0,0
90:48:6c:08:da:8a,18,16774,0,0,15
