MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,7192,80242,43846,192,9140
68:3a:48:0d:d4:1c,0,0,0,0,0
70:ee:50:57:95:29,70,19394,0,0,17176
54:af:97:bb:8d:8f,12,8798,0,0,0
70:09:71:9d:ad:10,68,1120,0,40,212
00:16:6c:d7:d5:f9,36,5942,1314,0,80556
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,438,10786,0,69092,0
10:5a:17:b8:9f:70,34,7176,0,69068,0
fc:67:1f:53:fa:6e,8,194,0,44,0
1c:90:ff:bf:89:46,0,196,0,52,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,10,7860,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,0,0,0,0,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,0,0,0,0,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,18,5848,0,952,0
84:69:93:27:ad:35,108,22726,0,1744,84
18:48:be:31:4b:49,7840,67164,67018,0,5956
74:d4:23:32:a2:d7,0,0,0,0,0
6e:fe:2f:5a:d7:7e,0,0,0,0,0
90:48:6c:08:da:8a,26,11616,24,8,16
